image_path,split
Adrenal Gland/fold1_00001171.png,train
Adrenal Gland/fold1_00001172.png,train
Adrenal Gland/fold1_00001173.png,train
Adrenal Gland/fold1_00001175.png,train
Adrenal Gland/fold1_00001176.png,train
Adrenal Gland/fold1_00001177.png,train
Adrenal Gland/fold1_00001178.png,train
Adrenal Gland/fold1_00001179.png,train
Adrenal Gland/fold1_00001180.png,train
Adrenal Gland/fold1_00001181.png,train
Adrenal Gland/fold1_00001182.png,train
Adrenal Gland/fold1_00001183.png,train
Adrenal Gland/fold1_00001184.png,train
Adrenal Gland/fold1_00001185.png,train
Adrenal Gland/fold1_00001186.png,train
Adrenal Gland/fold1_00001187.png,train
Adrenal Gland/fold1_00001188.png,train
Adrenal Gland/fold1_00001189.png,train
Adrenal Gland/fold1_00001190.png,train
Adrenal Gland/fold1_00001191.png,train
Adrenal Gland/fold1_00001192.png,train
Adrenal Gland/fold1_00001195.png,train
Adrenal Gland/fold1_00001196.png,train
Adrenal Gland/fold1_00001197.png,train
Adrenal Gland/fold1_00001198.png,train
Adrenal Gland/fold1_00001199.png,train
Adrenal Gland/fold1_00001200.png,train
Adrenal Gland/fold1_00001201.png,train
Adrenal Gland/fold1_00001202.png,train
Adrenal Gland/fold1_00001203.png,train
Adrenal Gland/fold1_00001204.png,train
Adrenal Gland/fold1_00001205.png,train
Adrenal Gland/fold1_00001207.png,train
Adrenal Gland/fold1_00001208.png,train
Adrenal Gland/fold1_00001209.png,train
Adrenal Gland/fold1_00001210.png,train
Adrenal Gland/fold1_00001212.png,train
Adrenal Gland/fold1_00001213.png,train
Adrenal Gland/fold1_00001214.png,train
Adrenal Gland/fold1_00001215.png,train
Adrenal Gland/fold1_00001216.png,train
Adrenal Gland/fold1_00001217.png,train
Adrenal Gland/fold1_00001264.png,train
Adrenal Gland/fold1_00001266.png,train
Adrenal Gland/fold1_00001267.png,train
Adrenal Gland/fold1_00001269.png,train
Adrenal Gland/fold1_00001270.png,train
Adrenal Gland/fold1_00001271.png,train
Adrenal Gland/fold1_00001272.png,train
Adrenal Gland/fold1_00001273.png,train
Adrenal Gland/fold1_00001274.png,train
Adrenal Gland/fold1_00001275.png,train
Adrenal Gland/fold1_00001276.png,train
Adrenal Gland/fold1_00001277.png,train
Adrenal Gland/fold1_00001278.png,train
Adrenal Gland/fold1_00001304.png,train
Adrenal Gland/fold1_00001305.png,train
Adrenal Gland/fold1_00001306.png,train
Adrenal Gland/fold1_00001307.png,train
Adrenal Gland/fold1_00001308.png,train
Adrenal Gland/fold1_00001309.png,train
Adrenal Gland/fold1_00001310.png,train
Adrenal Gland/fold1_00001311.png,train
Adrenal Gland/fold1_00001312.png,train
Adrenal Gland/fold1_00001313.png,train
Adrenal Gland/fold1_00001314.png,train
Adrenal Gland/fold1_00001315.png,train
Adrenal Gland/fold1_00001316.png,train
Adrenal Gland/fold1_00001317.png,train
Adrenal Gland/fold1_00001318.png,train
Adrenal Gland/fold1_00001521.png,train
Adrenal Gland/fold1_00001523.png,train
Adrenal Gland/fold1_00001524.png,train
Adrenal Gland/fold1_00001525.png,train
Adrenal Gland/fold1_00001526.png,train
Adrenal Gland/fold1_00001527.png,train
Adrenal Gland/fold1_00001528.png,train
Adrenal Gland/fold1_00001529.png,train
Adrenal Gland/fold1_00001530.png,train
Adrenal Gland/fold1_00001531.png,train
Adrenal Gland/fold1_00001532.png,train
Adrenal Gland/fold1_00001533.png,train
Adrenal Gland/fold1_00001534.png,train
Adrenal Gland/fold1_00001535.png,train
Adrenal Gland/fold1_00001536.png,train
Adrenal Gland/fold1_00001537.png,train
Adrenal Gland/fold1_00001538.png,train
